product_id,name,category,supplier,current_stock,reorder_level,purchase_price,selling_price,lead_time,historical_sales
P0011,Product 11,Books,Supplier D,334,56,486.77,724.52,14,"{'Day-1': 9, 'Day-2': 27, 'Day-3': 7, 'Day-4': 45, 'Day-5': 48, 'Day-6': 22, 'Day-7': 50, 'Day-8': 14, 'Day-9': 40, 'Day-10': 50}"
P0012,Product 12,Home & Kitchen,Supplier A,181,12,443.53,498.69,2,"{'Day-1': 12, 'Day-2': 47, 'Day-3': 6, 'Day-4': 23, 'Day-5': 19, 'Day-6': 22, 'Day-7': 30, 'Day-8': 37, 'Day-9': 10, 'Day-10': 2}"
P0013,Product 13,Electronics,Supplier A,480,73,364.31,520.15,10,"{'Day-1': 24, 'Day-2': 22, 'Day-3': 32, 'Day-4': 29, 'Day-5': 46, 'Day-6': 47, 'Day-7': 47, 'Day-8': 6, 'Day-9': 42, 'Day-10': 6}"
P0014,Product 14,Groceries,Supplier A,229,61,204.8,282.71,10,"{'Day-1': 37, 'Day-2': 34, 'Day-3': 30, 'Day-4': 40, 'Day-5': 47, 'Day-6': 39, 'Day-7': 34, 'Day-8': 37, 'Day-9': 11, 'Day-10': 19}"
P0015,Product 15,Clothing,Supplier A,491,74,376.84,542.52,10,"{'Day-1': 45, 'Day-2': 30, 'Day-3': 31, 'Day-4': 46, 'Day-5': 45, 'Day-6': 40, 'Day-7': 18, 'Day-8': 49, 'Day-9': 11, 'Day-10': 12}"
P0016,Product 16,Clothing,Supplier D,172,45,10.88,11.99,14,"{'Day-1': 16, 'Day-2': 45, 'Day-3': 25, 'Day-4': 17, 'Day-5': 9, 'Day-6': 37, 'Day-7': 23, 'Day-8': 13, 'Day-9': 19, 'Day-10': 13}"
P0017,Product 17,Groceries,Supplier C,1,49,149.35,223.85,7,"{'Day-1': 20, 'Day-2': 33, 'Day-3': 47, 'Day-4': 18, 'Day-5': 29, 'Day-6': 27, 'Day-7': 24, 'Day-8': 21, 'Day-9': 11, 'Day-10': 5}"
P0018,Product 18,Toys,Supplier C,493,37,75.44,91.09,10,"{'Day-1': 11, 'Day-2': 36, 'Day-3': 21, 'Day-4': 49, 'Day-5': 37, 'Day-6': 43, 'Day-7': 2, 'Day-8': 41, 'Day-9': 48, 'Day-10': 11}"
P0019,Product 19,Clothing,Supplier C,316,12,232.9,290.6,14,"{'Day-1': 26, 'Day-2': 45, 'Day-3': 37, 'Day-4': 21, 'Day-5': 3, 'Day-6': 30, 'Day-7': 20, 'Day-8': 32, 'Day-9': 27, 'Day-10': 5}"
P0020,Product 20,Books,Supplier A,72,67,23.5,30.92,2,"{'Day-1': 3, 'Day-2': 17, 'Day-3': 19, 'Day-4': 4, 'Day-5': 43, 'Day-6': 0, 'Day-7': 6, 'Day-8': 25, 'Day-9': 6, 'Day-10': 45}"
P0021,Product 21,Clothing,Supplier D,262,62,416.47,568.9,5,"{'Day-1': 38, 'Day-2': 43, 'Day-3': 32, 'Day-4': 36, 'Day-5': 8, 'Day-6': 23, 'Day-7': 11, 'Day-8': 48, 'Day-9': 9, 'Day-10': 38}"
P0022,Product 22,Books,Supplier B,354,23,236.66,346.68,2,"{'Day-1': 39, 'Day-2': 23, 'Day-3': 38, 'Day-4': 19, 'Day-5': 7, 'Day-6': 4, 'Day-7': 50, 'Day-8': 16, 'Day-9': 23, 'Day-10': 47}"
P0023,Product 23,Electronics,Supplier C,192,100,132.74,172.73,14,"{'Day-1': 11, 'Day-2': 30, 'Day-3': 40, 'Day-4': 1, 'Day-5': 9, 'Day-6': 34, 'Day-7': 24, 'Day-8': 40, 'Day-9': 5, 'Day-10': 22}"
P0024,Product 24,Home & Kitchen,Supplier B,331,10,158.86,188.52,10,"{'Day-1': 8, 'Day-2': 41, 'Day-3': 1, 'Day-4': 11, 'Day-5': 34, 'Day-6': 27, 'Day-7': 34, 'Day-8': 14, 'Day-9': 49, 'Day-10': 46}"
P0025,Product 25,Toys,Supplier C,250,97,221.97,251.37,5,"{'Day-1': 41, 'Day-2': 17, 'Day-3': 0, 'Day-4': 46, 'Day-5': 26, 'Day-6': 39, 'Day-7': 17, 'Day-8': 3, 'Day-9': 44, 'Day-10': 27}"
P0026,Product 26,Electronics,Supplier A,141,10,387.81,472.04,5,"{'Day-1': 8, 'Day-2': 13, 'Day-3': 42, 'Day-4': 20, 'Day-5': 28, 'Day-6': 18, 'Day-7': 11, 'Day-8': 12, 'Day-9': 32, 'Day-10': 41}"
P0027,Product 27,Electronics,Supplier A,266,99,471.04,693.96,2,"{'Day-1': 44, 'Day-2': 8, 'Day-3': 44, 'Day-4': 11, 'Day-5': 0, 'Day-6': 21, 'Day-7': 12, 'Day-8': 45, 'Day-9': 7, 'Day-10': 19}"
P0028,Product 28,Home & Kitchen,Supplier A,307,11,469.51,697.19,2,"{'Day-1': 39, 'Day-2': 21, 'Day-3': 43, 'Day-4': 44, 'Day-5': 43, 'Day-6': 24, 'Day-7': 43, 'Day-8': 46, 'Day-9': 6, 'Day-10': 31}"
P0029,Product 29,Books,Supplier C,251,57,97.66,122.23,7,"{'Day-1': 46, 'Day-2': 47, 'Day-3': 13, 'Day-4': 50, 'Day-5': 1, 'Day-6': 28, 'Day-7': 27, 'Day-8': 40, 'Day-9': 1, 'Day-10': 36}"
P0030,Product 30,Clothing,Supplier C,492,100,262.99,312.69,10,"{'Day-1': 2, 'Day-2': 48, 'Day-3': 7, 'Day-4': 5, 'Day-5': 43, 'Day-6': 41, 'Day-7': 47, 'Day-8': 32, 'Day-9': 34, 'Day-10': 35}"
P0031,Product 31,Groceries,Supplier C,455,92,296.19,403.94,14,"{'Day-1': 17, 'Day-2': 26, 'Day-3': 36, 'Day-4': 22, 'Day-5': 7, 'Day-6': 34, 'Day-7': 2, 'Day-8': 19, 'Day-9': 12, 'Day-10': 2}"
P0032,Product 32,Toys,Supplier C,295,22,386.23,444.46,7,"{'Day-1': 47, 'Day-2': 2, 'Day-3': 36, 'Day-4': 17, 'Day-5': 13, 'Day-6': 32, 'Day-7': 42, 'Day-8': 28, 'Day-9': 37, 'Day-10': 7}"
P0033,Product 33,Books,Supplier A,17,46,48.52,66.75,14,"{'Day-1': 30, 'Day-2': 36, 'Day-3': 31, 'Day-4': 45, 'Day-5': 35, 'Day-6': 21, 'Day-7': 40, 'Day-8': 12, 'Day-9': 27, 'Day-10': 24}"
P0034,Product 34,Groceries,Supplier B,405,78,459.01,681.28,14,"{'Day-1': 11, 'Day-2': 38, 'Day-3': 23, 'Day-4': 27, 'Day-5': 22, 'Day-6': 23, 'Day-7': 36, 'Day-8': 1, 'Day-9': 39, 'Day-10': 28}"
P0035,Product 35,Clothing,Supplier B,326,97,342.38,410.23,10,"{'Day-1': 7, 'Day-2': 6, 'Day-3': 18, 'Day-4': 12, 'Day-5': 9, 'Day-6': 26, 'Day-7': 1, 'Day-8': 3, 'Day-9': 49, 'Day-10': 38}"
P0036,Product 36,Clothing,Supplier D,173,92,452.55,629.6,7,"{'Day-1': 8, 'Day-2': 15, 'Day-3': 4, 'Day-4': 35, 'Day-5': 22, 'Day-6': 21, 'Day-7': 40, 'Day-8': 26, 'Day-9': 1, 'Day-10': 4}"
P0037,Product 37,Clothing,Supplier B,395,61,152.68,205.64,10,"{'Day-1': 49, 'Day-2': 4, 'Day-3': 25, 'Day-4': 34, 'Day-5': 48, 'Day-6': 30, 'Day-7': 25, 'Day-8': 31, 'Day-9': 7, 'Day-10': 44}"
P0038,Product 38,Toys,Supplier C,216,17,395.63,519.28,10,"{'Day-1': 41, 'Day-2': 35, 'Day-3': 27, 'Day-4': 12, 'Day-5': 24, 'Day-6': 21, 'Day-7': 29, 'Day-8': 18, 'Day-9': 0, 'Day-10': 3}"
P0039,Product 39,Books,Supplier C,365,22,425.37,497.99,14,"{'Day-1': 18, 'Day-2': 15, 'Day-3': 16, 'Day-4': 26, 'Day-5': 42, 'Day-6': 14, 'Day-7': 17, 'Day-8': 15, 'Day-9': 13, 'Day-10': 18}"
P0040,Product 40,Groceries,Supplier B,57,41,427.67,566.38,10,"{'Day-1': 15, 'Day-2': 13, 'Day-3': 19, 'Day-4': 35, 'Day-5': 38, 'Day-6': 22, 'Day-7': 45, 'Day-8': 16, 'Day-9': 42, 'Day-10': 25}"
P0041,Product 41,Clothing,Supplier C,167,13,268.51,329.75,7,"{'Day-1': 34, 'Day-2': 37, 'Day-3': 47, 'Day-4': 43, 'Day-5': 9, 'Day-6': 13, 'Day-7': 3, 'Day-8': 46, 'Day-9': 48, 'Day-10': 48}"
P0042,Product 42,Books,Supplier D,358,82,285.63,390.32,14,"{'Day-1': 43, 'Day-2': 2, 'Day-3': 35, 'Day-4': 17, 'Day-5': 7, 'Day-6': 1, 'Day-7': 43, 'Day-8': 30, 'Day-9': 21, 'Day-10': 24}"
P0043,Product 43,Books,Supplier A,340,17,18.42,24.68,5,"{'Day-1': 5, 'Day-2': 20, 'Day-3': 27, 'Day-4': 4, 'Day-5': 44, 'Day-6': 27, 'Day-7': 31, 'Day-8': 24, 'Day-9': 23, 'Day-10': 27}"
P0044,Product 44,Groceries,Supplier B,269,98,179.26,201.84,5,"{'Day-1': 5, 'Day-2': 32, 'Day-3': 32, 'Day-4': 38, 'Day-5': 29, 'Day-6': 26, 'Day-7': 41, 'Day-8': 5, 'Day-9': 12, 'Day-10': 34}"
P0045,Product 45,Books,Supplier A,361,95,334.85,491.6,10,"{'Day-1': 46, 'Day-2': 5, 'Day-3': 27, 'Day-4': 25, 'Day-5': 2, 'Day-6': 46, 'Day-7': 17, 'Day-8': 27, 'Day-9': 49, 'Day-10': 32}"
P0046,Product 46,Home & Kitchen,Supplier D,83,12,322.07,424.49,10,"{'Day-1': 26, 'Day-2': 15, 'Day-3': 5, 'Day-4': 6, 'Day-5': 9, 'Day-6': 46, 'Day-7': 49, 'Day-8': 34, 'Day-9': 38, 'Day-10': 13}"
P0047,Product 47,Electronics,Supplier D,449,18,183.3,218.46,14,"{'Day-1': 41, 'Day-2': 4, 'Day-3': 21, 'Day-4': 0, 'Day-5': 13, 'Day-6': 50, 'Day-7': 29, 'Day-8': 9, 'Day-9': 27, 'Day-10': 28}"
P0048,Product 48,Electronics,Supplier A,205,77,324.26,451.98,5,"{'Day-1': 2, 'Day-2': 1, 'Day-3': 7, 'Day-4': 2, 'Day-5': 16, 'Day-6': 35, 'Day-7': 14, 'Day-8': 12, 'Day-9': 27, 'Day-10': 13}"
P0049,Product 49,Toys,Supplier C,231,20,174.46,240.18,10,"{'Day-1': 32, 'Day-2': 26, 'Day-3': 23, 'Day-4': 47, 'Day-5': 46, 'Day-6': 16, 'Day-7': 44, 'Day-8': 4, 'Day-9': 11, 'Day-10': 23}"
P0050,Product 50,Groceries,Supplier B,59,58,71.57,94.33,7,"{'Day-1': 45, 'Day-2': 35, 'Day-3': 5, 'Day-4': 13, 'Day-5': 23, 'Day-6': 2, 'Day-7': 3, 'Day-8': 29, 'Day-9': 32, 'Day-10': 12}"
P0051,Product 51,Electronics,Supplier C,185,79,95.59,134.43,2,"{'Day-1': 45, 'Day-2': 14, 'Day-3': 28, 'Day-4': 10, 'Day-5': 39, 'Day-6': 32, 'Day-7': 21, 'Day-8': 12, 'Day-9': 23, 'Day-10': 19}"
P0052,Product 52,Toys,Supplier D,425,91,485.89,550.1,10,"{'Day-1': 17, 'Day-2': 21, 'Day-3': 25, 'Day-4': 16, 'Day-5': 5, 'Day-6': 8, 'Day-7': 3, 'Day-8': 49, 'Day-9': 7, 'Day-10': 12}"
P0053,Product 53,Home & Kitchen,Supplier A,428,35,90.54,110.52,2,"{'Day-1': 32, 'Day-2': 9, 'Day-3': 25, 'Day-4': 36, 'Day-5': 48, 'Day-6': 49, 'Day-7': 12, 'Day-8': 26, 'Day-9': 19, 'Day-10': 33}"
P0054,Product 54,Groceries,Supplier D,213,58,41.97,52.64,2,"{'Day-1': 18, 'Day-2': 34, 'Day-3': 38, 'Day-4': 9, 'Day-5': 16, 'Day-6': 6, 'Day-7': 44, 'Day-8': 3, 'Day-9': 8, 'Day-10': 8}"
P0055,Product 55,Home & Kitchen,Supplier B,95,83,35.56,46.46,7,"{'Day-1': 44, 'Day-2': 43, 'Day-3': 12, 'Day-4': 32, 'Day-5': 50, 'Day-6': 28, 'Day-7': 0, 'Day-8': 37, 'Day-9': 47, 'Day-10': 18}"
P0056,Product 56,Books,Supplier D,306,17,194.91,254.55,5,"{'Day-1': 3, 'Day-2': 38, 'Day-3': 28, 'Day-4': 32, 'Day-5': 21, 'Day-6': 37, 'Day-7': 25, 'Day-8': 29, 'Day-9': 23, 'Day-10': 24}"
P0057,Product 57,Clothing,Supplier C,403,86,141.61,176.38,2,"{'Day-1': 25, 'Day-2': 46, 'Day-3': 38, 'Day-4': 21, 'Day-5': 21, 'Day-6': 1, 'Day-7': 30, 'Day-8': 9, 'Day-9': 25, 'Day-10': 41}"
P0058,Product 58,Clothing,Supplier A,486,61,193.02,245.59,5,"{'Day-1': 36, 'Day-2': 11, 'Day-3': 22, 'Day-4': 9, 'Day-5': 29, 'Day-6': 10, 'Day-7': 3, 'Day-8': 49, 'Day-9': 11, 'Day-10': 34}"
P0059,Product 59,Books,Supplier C,303,70,457.81,568.66,7,"{'Day-1': 10, 'Day-2': 17, 'Day-3': 37, 'Day-4': 6, 'Day-5': 28, 'Day-6': 46, 'Day-7': 45, 'Day-8': 36, 'Day-9': 24, 'Day-10': 21}"
P0060,Product 60,Electronics,Supplier B,135,66,390.47,539.02,14,"{'Day-1': 18, 'Day-2': 43, 'Day-3': 36, 'Day-4': 47, 'Day-5': 42, 'Day-6': 19, 'Day-7': 13, 'Day-8': 5, 'Day-9': 12, 'Day-10': 10}"
P0061,Product 61,Clothing,Supplier B,449,27,450.74,629.55,14,"{'Day-1': 38, 'Day-2': 25, 'Day-3': 20, 'Day-4': 14, 'Day-5': 30, 'Day-6': 15, 'Day-7': 23, 'Day-8': 1, 'Day-9': 50, 'Day-10': 33}"
P0062,Product 62,Clothing,Supplier C,162,10,347.13,427.8,14,"{'Day-1': 8, 'Day-2': 19, 'Day-3': 50, 'Day-4': 29, 'Day-5': 37, 'Day-6': 34, 'Day-7': 32, 'Day-8': 21, 'Day-9': 14, 'Day-10': 35}"
P0063,Product 63,Toys,Supplier C,134,26,270.57,328.94,5,"{'Day-1': 25, 'Day-2': 32, 'Day-3': 7, 'Day-4': 15, 'Day-5': 26, 'Day-6': 30, 'Day-7': 10, 'Day-8': 7, 'Day-9': 8, 'Day-10': 7}"
P0064,Product 64,Home & Kitchen,Supplier D,129,81,368.25,505.66,14,"{'Day-1': 20, 'Day-2': 29, 'Day-3': 26, 'Day-4': 42, 'Day-5': 34, 'Day-6': 27, 'Day-7': 23, 'Day-8': 26, 'Day-9': 50, 'Day-10': 14}"
P0065,Product 65,Clothing,Supplier A,356,65,179.1,221.76,5,"{'Day-1': 31, 'Day-2': 16, 'Day-3': 38, 'Day-4': 42, 'Day-5': 43, 'Day-6': 18, 'Day-7': 34, 'Day-8': 49, 'Day-9': 1, 'Day-10': 13}"
P0066,Product 66,Electronics,Supplier C,92,40,477.93,581.13,2,"{'Day-1': 29, 'Day-2': 32, 'Day-3': 32, 'Day-4': 5, 'Day-5': 43, 'Day-6': 17, 'Day-7': 0, 'Day-8': 39, 'Day-9': 42, 'Day-10': 10}"
P0067,Product 67,Clothing,Supplier A,83,64,321.73,358.12,10,"{'Day-1': 32, 'Day-2': 20, 'Day-3': 44, 'Day-4': 16, 'Day-5': 21, 'Day-6': 28, 'Day-7': 36, 'Day-8': 5, 'Day-9': 31, 'Day-10': 18}"
P0068,Product 68,Home & Kitchen,Supplier B,361,54,263.44,344.54,5,"{'Day-1': 12, 'Day-2': 19, 'Day-3': 0, 'Day-4': 8, 'Day-5': 36, 'Day-6': 48, 'Day-7': 19, 'Day-8': 13, 'Day-9': 39, 'Day-10': 34}"
P0069,Product 69,Groceries,Supplier C,259,41,452.5,601.89,7,"{'Day-1': 9, 'Day-2': 32, 'Day-3': 9, 'Day-4': 23, 'Day-5': 35, 'Day-6': 43, 'Day-7': 27, 'Day-8': 14, 'Day-9': 3, 'Day-10': 6}"
P0070,Product 70,Groceries,Supplier A,214,29,303.02,369.42,7,"{'Day-1': 35, 'Day-2': 20, 'Day-3': 4, 'Day-4': 29, 'Day-5': 40, 'Day-6': 37, 'Day-7': 9, 'Day-8': 3, 'Day-9': 4, 'Day-10': 13}"
P0071,Product 71,Home & Kitchen,Supplier B,324,63,378.18,485.52,10,"{'Day-1': 44, 'Day-2': 49, 'Day-3': 39, 'Day-4': 49, 'Day-5': 33, 'Day-6': 10, 'Day-7': 23, 'Day-8': 17, 'Day-9': 31, 'Day-10': 36}"
P0072,Product 72,Electronics,Supplier D,498,60,263.88,309.14,7,"{'Day-1': 40, 'Day-2': 35, 'Day-3': 49, 'Day-4': 16, 'Day-5': 1, 'Day-6': 3, 'Day-7': 41, 'Day-8': 20, 'Day-9': 49, 'Day-10': 31}"
P0073,Product 73,Groceries,Supplier B,137,93,325.64,479.55,7,"{'Day-1': 21, 'Day-2': 21, 'Day-3': 36, 'Day-4': 37, 'Day-5': 41, 'Day-6': 20, 'Day-7': 40, 'Day-8': 45, 'Day-9': 0, 'Day-10': 2}"
P0074,Product 74,Books,Supplier A,351,31,220.3,317.56,5,"{'Day-1': 32, 'Day-2': 39, 'Day-3': 23, 'Day-4': 8, 'Day-5': 22, 'Day-6': 25, 'Day-7': 19, 'Day-8': 22, 'Day-9': 41, 'Day-10': 27}"
P0075,Product 75,Electronics,Supplier B,13,80,322.72,433.92,10,"{'Day-1': 22, 'Day-2': 49, 'Day-3': 9, 'Day-4': 47, 'Day-5': 28, 'Day-6': 47, 'Day-7': 0, 'Day-8': 12, 'Day-9': 43, 'Day-10': 12}"
P0076,Product 76,Toys,Supplier B,310,79,492.21,599.39,5,"{'Day-1': 24, 'Day-2': 31, 'Day-3': 1, 'Day-4': 35, 'Day-5': 23, 'Day-6': 33, 'Day-7': 14, 'Day-8': 3, 'Day-9': 36, 'Day-10': 33}"
P0077,Product 77,Groceries,Supplier A,317,100,335.88,464.12,2,"{'Day-1': 33, 'Day-2': 19, 'Day-3': 0, 'Day-4': 19, 'Day-5': 35, 'Day-6': 41, 'Day-7': 8, 'Day-8': 3, 'Day-9': 11, 'Day-10': 28}"
P0078,Product 78,Toys,Supplier D,363,70,229.87,337.43,2,"{'Day-1': 2, 'Day-2': 20, 'Day-3': 29, 'Day-4': 15, 'Day-5': 15, 'Day-6': 19, 'Day-7': 49, 'Day-8': 12, 'Day-9': 2, 'Day-10': 19}"
P0079,Product 79,Clothing,Supplier D,470,19,178.31,264.14,2,"{'Day-1': 35, 'Day-2': 32, 'Day-3': 25, 'Day-4': 32, 'Day-5': 12, 'Day-6': 21, 'Day-7': 28, 'Day-8': 9, 'Day-9': 43, 'Day-10': 6}"
P0080,Product 80,Electronics,Supplier C,67,23,343.36,460.35,10,"{'Day-1': 8, 'Day-2': 36, 'Day-3': 40, 'Day-4': 28, 'Day-5': 6, 'Day-6': 21, 'Day-7': 44, 'Day-8': 3, 'Day-9': 4, 'Day-10': 27}"
P0081,Product 81,Toys,Supplier C,32,43,343.25,380.77,5,"{'Day-1': 14, 'Day-2': 30, 'Day-3': 9, 'Day-4': 23, 'Day-5': 27, 'Day-6': 12, 'Day-7': 43, 'Day-8': 18, 'Day-9': 25, 'Day-10': 24}"
P0082,Product 82,Books,Supplier B,293,71,49.64,62.18,14,"{'Day-1': 7, 'Day-2': 16, 'Day-3': 15, 'Day-4': 39, 'Day-5': 41, 'Day-6': 15, 'Day-7': 26, 'Day-8': 42, 'Day-9': 31, 'Day-10': 3}"
P0083,Product 83,Groceries,Supplier C,277,31,39.18,49.21,10,"{'Day-1': 19, 'Day-2': 13, 'Day-3': 6, 'Day-4': 33, 'Day-5': 23, 'Day-6': 1, 'Day-7': 46, 'Day-8': 50, 'Day-9': 19, 'Day-10': 8}"
P0084,Product 84,Home & Kitchen,Supplier A,26,78,199.59,239.87,14,"{'Day-1': 41, 'Day-2': 26, 'Day-3': 16, 'Day-4': 25, 'Day-5': 42, 'Day-6': 24, 'Day-7': 29, 'Day-8': 44, 'Day-9': 3, 'Day-10': 16}"
P0085,Product 85,Toys,Supplier D,66,90,393.01,494.79,5,"{'Day-1': 0, 'Day-2': 6, 'Day-3': 15, 'Day-4': 11, 'Day-5': 37, 'Day-6': 48, 'Day-7': 13, 'Day-8': 38, 'Day-9': 39, 'Day-10': 12}"
P0086,Product 86,Clothing,Supplier A,36,82,317.84,365.97,14,"{'Day-1': 18, 'Day-2': 46, 'Day-3': 11, 'Day-4': 47, 'Day-5': 44, 'Day-6': 33, 'Day-7': 14, 'Day-8': 8, 'Day-9': 47, 'Day-10': 0}"
P0087,Product 87,Groceries,Supplier B,125,93,42.85,57.31,2,"{'Day-1': 37, 'Day-2': 37, 'Day-3': 12, 'Day-4': 41, 'Day-5': 44, 'Day-6': 35, 'Day-7': 50, 'Day-8': 17, 'Day-9': 11, 'Day-10': 9}"
P0088,Product 88,Books,Supplier B,68,86,377.72,494.08,10,"{'Day-1': 29, 'Day-2': 38, 'Day-3': 2, 'Day-4': 35, 'Day-5': 16, 'Day-6': 24, 'Day-7': 39, 'Day-8': 50, 'Day-9': 5, 'Day-10': 50}"
P0089,Product 89,Groceries,Supplier C,46,55,405.2,559.71,2,"{'Day-1': 47, 'Day-2': 9, 'Day-3': 4, 'Day-4': 10, 'Day-5': 17, 'Day-6': 10, 'Day-7': 36, 'Day-8': 24, 'Day-9': 0, 'Day-10': 30}"
P0090,Product 90,Toys,Supplier D,71,56,299.69,434.51,7,"{'Day-1': 30, 'Day-2': 26, 'Day-3': 32, 'Day-4': 28, 'Day-5': 47, 'Day-6': 7, 'Day-7': 46, 'Day-8': 2, 'Day-9': 42, 'Day-10': 5}"
P0091,Product 91,Groceries,Supplier B,127,79,233.8,311.89,14,"{'Day-1': 27, 'Day-2': 9, 'Day-3': 9, 'Day-4': 18, 'Day-5': 50, 'Day-6': 48, 'Day-7': 4, 'Day-8': 1, 'Day-9': 30, 'Day-10': 23}"
P0092,Product 92,Books,Supplier B,317,63,347.65,480.34,14,"{'Day-1': 2, 'Day-2': 41, 'Day-3': 50, 'Day-4': 32, 'Day-5': 24, 'Day-6': 45, 'Day-7': 40, 'Day-8': 3, 'Day-9': 27, 'Day-10': 46}"
P0093,Product 93,Electronics,Supplier A,207,79,378.67,521.85,7,"{'Day-1': 43, 'Day-2': 23, 'Day-3': 35, 'Day-4': 20, 'Day-5': 39, 'Day-6': 34, 'Day-7': 41, 'Day-8': 32, 'Day-9': 42, 'Day-10': 29}"
P0094,Product 94,Electronics,Supplier B,270,30,239.91,276.58,7,"{'Day-1': 47, 'Day-2': 50, 'Day-3': 2, 'Day-4': 49, 'Day-5': 19, 'Day-6': 19, 'Day-7': 3, 'Day-8': 26, 'Day-9': 22, 'Day-10': 12}"
P0095,Product 95,Clothing,Supplier A,164,22,177.44,249.15,7,"{'Day-1': 29, 'Day-2': 24, 'Day-3': 24, 'Day-4': 6, 'Day-5': 16, 'Day-6': 15, 'Day-7': 36, 'Day-8': 17, 'Day-9': 16, 'Day-10': 22}"
P0096,Product 96,Toys,Supplier D,62,48,432.81,537.5,10,"{'Day-1': 3, 'Day-2': 24, 'Day-3': 3, 'Day-4': 5, 'Day-5': 37, 'Day-6': 27, 'Day-7': 33, 'Day-8': 24, 'Day-9': 41, 'Day-10': 33}"
P0097,Product 97,Home & Kitchen,Supplier A,23,26,374.85,430.43,7,"{'Day-1': 40, 'Day-2': 41, 'Day-3': 23, 'Day-4': 20, 'Day-5': 30, 'Day-6': 45, 'Day-7': 35, 'Day-8': 5, 'Day-9': 20, 'Day-10': 42}"
P0098,Product 98,Groceries,Supplier A,368,42,5.66,7.77,14,"{'Day-1': 16, 'Day-2': 6, 'Day-3': 10, 'Day-4': 33, 'Day-5': 14, 'Day-6': 45, 'Day-7': 1, 'Day-8': 34, 'Day-9': 23, 'Day-10': 27}"
P0099,Product 99,Groceries,Supplier B,344,13,14.87,19.44,7,"{'Day-1': 15, 'Day-2': 18, 'Day-3': 37, 'Day-4': 42, 'Day-5': 29, 'Day-6': 17, 'Day-7': 40, 'Day-8': 7, 'Day-9': 29, 'Day-10': 44}"
P0100,Product 100,Electronics,Supplier C,318,44,212.65,246.41,7,"{'Day-1': 16, 'Day-2': 43, 'Day-3': 44, 'Day-4': 25, 'Day-5': 35, 'Day-6': 28, 'Day-7': 9, 'Day-8': 14, 'Day-9': 27, 'Day-10': 26}"
P0101,Product 101,Toys,Supplier C,208,36,399.6,540.56,5,"{'Day-1': 47, 'Day-2': 26, 'Day-3': 19, 'Day-4': 47, 'Day-5': 17, 'Day-6': 39, 'Day-7': 35, 'Day-8': 15, 'Day-9': 31, 'Day-10': 27}"
